  k      y  
0     0+i*1.84119520777772
0.02     0+i*1.8410982135501
0.04     0+i*1.84080740445339
0.06     0+i*1.84032330740222
0.08     0+i*1.83964681084652
0.1     0+i*1.83877918320927
0.12     0+i*1.8377220975322
0.14     0+i*1.83647766464876
0.16     0+i*1.83504847616424
0.18     0+i*1.83343765655517
0.2     0+i*1.83164893605804
0.22     0+i*1.82968671948362
0.24     0+i*1.82755619172156
0.26     0+i*1.82526343383613
0.28     0+i*1.8228155789897
0.3     0+i*1.82022095301125
0.32     0+i*1.81748934284878
0.34     0+i*1.81463221919923
0.36     0+i*1.81166306953467
0.38     0+i*1.80859781257355
0.4     0+i*1.80545529700402
0.42     0+i*1.80225794971763
0.44     0+i*1.79903256196796
0.46     0+i*1.79581139581965
0.48     0+i*1.79263352593906
0.5     0+i*1.78954667516278
0.52     0+i*1.78660969189342
0.54     0+i*1.78389594989909
0.56     0+i*1.78149812815366
0.58     0+i*1.77953511981333
0.6     0+i*1.77816233528287
0.62     0+i*1.77758758771152
0.64     0+i*1.77809688434257
0.66     0+i*1.78009859251578
0.68     0+i*1.7842050875022
0.7     0+i*1.7913998249919
0.72     0+i*1.80343303910581
0.74     0+i*1.82400740508393
0.76     0+i*1.86449221132162
0.78     1.72270889227259+i*0.0905333639826366
0.8     1.7032176179754+i*0.181793152696185
0.82     1.68277397189169+i*0.240590814389952
0.84     1.66130415442582+i*0.287394167809484
0.86     1.63872159398404+i*0.32720055057796
0.88     1.61492373876425+i*0.36212634881435
0.9     1.58978776638748+i*0.393261092615666
0.92     1.56316475000991+i*0.421212354700847
0.94     1.53487156730101+i*0.446316448092377
0.96     1.50467942431319+i*0.468731424510247
0.98     1.47229715522358+i*0.488478287974511
1     1.43734617551755+i*0.50545363179365
1.02     1.39932155305068+i*0.519420895705568
1.04     1.35752883976578+i*0.529978430639467
1.06     1.31097596023648+i*0.536492865186922
1.08     1.25817520410476+i*0.537967946661141
1.1     1.19674662521315+i*0.532772224351571
1.12     1.12251840821324+i*0.5180010728658
1.14     1.02706651008066+i*0.487644006330015
1.16     0.888419316224787+i*0.424923917836284
1.18     0.591422525542206+i*0.197829612316948
1.2     1.15267980194282+0
1.22     1.40397222439477+0
1.24     1.59702230533895+0
1.26     1.76213589074972+0
1.28     1.91015237639733+0
1.3     2.04639528621093+0
1.32     2.17393492296384+0
1.34     2.29472755235245+0
1.36     2.41010780097703+0
1.38     2.52103295634799+0
1.4     2.62821637879302+0
1.42     2.7322059777274+0
1.44     2.83343300684746+0
1.46     2.93224384056936+0
1.48     3.02892144820869+0
1.5     3.12370037310381+0
1.52     3.21677746094322+0
1.54     3.30831972405396+0
1.56     3.39847022213795+0
1.58     3.48735253715824+0
1.6     3.57507423199409+0
1.62     3.66172955983493+0
1.64     3.74740161890367+0
1.66     3.83216407460667+0
1.68     3.91608256054923+0
1.7     3.99921582264415+0
1.72     4.08161667015185+0
1.74     4.1633327450927+0
1.76     4.24440720066722+0
1.78     4.32487924441904+0
1.8     4.40478461019541+0
1.82     4.48415596179766+0
1.84     4.56302323674853+0
1.86     4.64141394369532+0
1.88     4.71935341879419+0
1.9     4.79686505052304+0
1.92     4.87397047392671+0
1.94     4.95068974276628+0
1.96     5.02704148018362+0
1.98     5.10304301122312+0
2     5.17871048112278+0
